year,species_code,sex,sex_desc,iss,nss,nhl
1982,10210,0,total_pre,667.1387992907464,744,35
1982,10210,1,male,271.26428942346973,317,31
1982,10210,2,female,365.25747632087644,419,33
1982,10210,4,total_post,641.4767524542212,744,35
1982,10210,12,female_male,666.438547383908,736,34
1982,21740,0,total_pre,2046.722541598,1500,81
1982,21740,1,male,880.8996003021521,654,65
1982,21740,2,female,854.9017001377476,742,71
1982,21740,4,total_post,1990.9260471416726,1500,81
1982,21740,12,female_male,2016.1004033463091,1396,76
1983,10210,0,total_pre,572.5090185016965,709,37
1983,10210,1,male,228.22544913925734,303,28
1983,10210,2,female,325.46631789395616,406,35
1983,10210,4,total_post,547.9343803045824,709,37
1983,10210,12,female_male,573.9029119877019,709,37
1983,21740,0,total_pre,1993.0406244714934,1931,95
1983,21740,1,male,552.1166007438776,931,88
1983,21740,2,female,568.3802462575371,990,85
1983,21740,4,total_post,2060.070507059399,1931,95
1983,21740,12,female_male,1323.1342351243284,1921,94
1984,10210,0,total_pre,585.7234030636104,796,56
1984,10210,1,male,235.55437610387625,329,42
1984,10210,2,female,313.9132361717438,467,49
1984,10210,4,total_post,558.3148581066246,796,56
1984,10210,12,female_male,577.7390698239552,796,56
1984,21720,0,total_pre,431.58819085652505,316,18
1984,21720,1,male,184.20811386192406,187,18
1984,21720,2,female,136.29143603222036,129,18
1984,21720,4,total_post,270.2437749374188,316,18
1984,21720,12,female_male,385.8099337828402,316,18
1984,21740,0,total_pre,1393.4539756693716,1806,116
1984,21740,1,male,549.5099888832274,826,100
1984,21740,2,female,600.9242487249857,943,110
1984,21740,4,total_post,1380.6652937623091,1806,116
1984,21740,12,female_male,1366.5740336947617,1769,115
1985,10210,0,total_pre,704.1259356623278,802,43
1985,10210,1,male,287.74826643562994,338,36
1985,10210,2,female,364.20442733052556,464,35
1985,10210,4,total_post,645.2494004737605,802,43
1985,10210,12,female_male,684.8149351047382,802,43
1985,21740,0,total_pre,2689.841094626722,1890,81
1985,21740,1,male,630.8353998274715,852,72
1985,21740,2,female,731.6997273186751,1002,76
1985,21740,4,total_post,2581.797134453064,1890,81
1985,21740,12,female_male,1511.685020159591,1854,81
1986,10210,0,total_pre,686.6305879278738,739,34
1986,10210,1,male,283.2008641439483,321,26
1986,10210,2,female,361.288435731988,418,32
1986,10210,4,total_post,648.0609375565828,739,34
1986,10210,12,female_male,677.5367158860037,739,34
1986,21740,0,total_pre,1607.2715254132638,1344,45
1986,21740,1,male,465.30625618641943,608,44
1986,21740,2,female,610.9431944921772,702,44
1986,21740,4,total_post,1544.4249494442581,1344,45
1986,21740,12,female_male,1147.5279168283328,1310,45
1987,10210,0,total_pre,718.5431031614042,798,16
1987,10210,1,male,303.83461699600787,356,14
1987,10210,2,female,358.0012069982422,442,16
1987,10210,4,total_post,656.4596191893256,798,16
1987,10210,12,female_male,694.2412763536413,798,16
1987,21740,0,total_pre,1360.7505869216063,1547,34
1987,21740,1,male,589.3753854343202,698,31
1987,21740,2,female,666.7056545304473,819,33
1987,21740,4,total_post,1339.984712053547,1547,34
1987,21740,12,female_male,1395.9502332004404,1517,34
1988,10210,0,total_pre,582.0664546430402,543,14
1988,10210,1,male,250.86378615033948,236,13
1988,10210,2,female,319.3194461116701,307,14
1988,10210,4,total_post,562.0149502715888,543,14
1988,10210,12,female_male,609.5640519281249,543,14
1988,21720,0,total_pre,894.5216418801914,639,27
1988,21720,1,male,371.9927738665158,316,27
1988,21720,2,female,365.45581584280905,323,27
1988,21720,4,total_post,686.6690344086024,639,27
1988,21720,12,female_male,815.5554689889005,639,27
1988,21740,0,total_pre,995.7469821807238,1173,26
1988,21740,1,male,443.7764423625121,572,26
1988,21740,2,female,379.15056994181094,587,26
1988,21740,4,total_post,970.1375596770549,1173,26
1988,21740,12,female_male,900.4472859340062,1159,26
