year,species_code,sex,sex_desc,iss,nss,nhl
1982,10210,0,total_pre,182.56823105281237,744,35
1982,10210,1,male,80.30385823713362,317,31
1982,10210,2,female,131.55203756789743,419,33
1982,10210,4,total_post,171.98096048921312,744,35
1982,10210,12,female_male,212.38778117368363,736,34
1982,21740,0,total_pre,166.48743376106273,1500,81
1982,21740,1,male,92.71465235314405,654,65
1982,21740,2,female,118.86310814552985,742,71
1982,21740,4,total_post,154.35782113473817,1500,81
1982,21740,12,female_male,236.1777644460066,1396,76
1983,10210,0,total_pre,151.67797991944238,709,37
1983,10210,1,male,71.27960155809818,303,28
1983,10210,2,female,88.03027328521432,406,35
1983,10210,4,total_post,132.5204266321841,709,37
1983,10210,12,female_male,166.2677176306206,709,37
1983,21740,0,total_pre,141.65643636578284,1931,95
1983,21740,1,male,67.66507872015578,931,88
1983,21740,2,female,89.39050570398112,990,85
1983,21740,4,total_post,134.62779203694834,1931,95
1983,21740,12,female_male,172.43187505488228,1921,94
1984,10210,0,total_pre,170.6696715979658,796,56
1984,10210,1,male,73.51095055037612,329,42
1984,10210,2,female,115.63240433784863,467,49
1984,10210,4,total_post,157.93560313337684,796,56
1984,10210,12,female_male,196.09402975719,796,56
1984,21720,0,total_pre,48.24903469375378,316,18
1984,21720,1,male,39.06451784853019,187,18
1984,21720,2,female,23.193674680044673,129,18
1984,21720,4,total_post,44.065040763923065,316,18
1984,21720,12,female_male,63.80059362549988,316,18
1984,21740,0,total_pre,63.37373680225704,1806,116
1984,21740,1,male,55.34669542464702,826,100
1984,21740,2,female,44.451660473985626,943,110
1984,21740,4,total_post,62.53648300986318,1806,116
1984,21740,12,female_male,111.13820963321895,1769,115
1985,10210,0,total_pre,190.3045886111773,802,43
1985,10210,1,male,92.53727105778513,338,36
1985,10210,2,female,115.80402993538931,464,35
1985,10210,4,total_post,171.89155852288852,802,43
1985,10210,12,female_male,216.03486226303912,802,43
1985,21740,0,total_pre,78.23205209763738,1890,81
1985,21740,1,male,84.84738960896948,852,72
1985,21740,2,female,85.1212077285783,1002,76
1985,21740,4,total_post,75.20840838130242,1890,81
1985,21740,12,female_male,184.45416025679222,1854,81
1986,10210,0,total_pre,192.06339826630423,739,34
1986,10210,1,male,89.17708553050338,321,26
1986,10210,2,female,120.76442967974829,418,32
1986,10210,4,total_post,168.2251842576944,739,34
1986,10210,12,female_male,217.249780302533,739,34
1986,21740,0,total_pre,152.53423344663668,1344,45
1986,21740,1,male,90.23422009518085,608,44
1986,21740,2,female,100.67325944844418,702,44
1986,21740,4,total_post,150.22168516795253,1344,45
1986,21740,12,female_male,205.83489121110637,1310,45
1987,10210,0,total_pre,152.3235906754202,798,16
1987,10210,1,male,84.7925845402395,356,14
1987,10210,2,female,91.49581014204561,442,16
1987,10210,4,total_post,138.2243961255977,798,16
1987,10210,12,female_male,181.71446073328192,798,16
1987,21740,0,total_pre,63.26218550796352,1547,34
1987,21740,1,male,50.71966820538161,698,31
1987,21740,2,female,49.70284323514589,819,33
1987,21740,4,total_post,61.19278897667577,1547,34
1987,21740,12,female_male,108.49015581215828,1517,34
1988,10210,0,total_pre,105.74065841938248,543,14
1988,10210,1,male,56.07621978977708,236,13
1988,10210,2,female,77.9034590998499,307,14
1988,10210,4,total_post,101.33931880632227,543,14
1988,10210,12,female_male,140.29216149866392,543,14
1988,21720,0,total_pre,180.64452637339778,639,27
1988,21720,1,male,105.68587068741158,316,27
1988,21720,2,female,95.54977175370743,323,27
