year,species_code,sex,sex_desc,iss,nss,nhls
1982,10210,0,total_pre,2563.4214839599126,37023,246
1982,10210,1,male,1387.968625705421,13838,218
1982,10210,2,female,2213.3183213303237,23178,246
1982,10210,4,total_post,2563.4214831553245,37023,246
1982,10210,12,female_male,3175.7462767836982,37016,246
1982,21720,0,total_pre,2377.8376769545353,10863,313
1982,21720,1,male,1343.6381969967565,5288,300
1982,21720,2,female,1408.702480993284,5434,307
1982,21720,4,total_post,2377.837636634406,10863,313
1982,21720,12,female_male,2758.6587285547407,10722,310
1982,21740,0,total_pre,1231.68744304074,42182,308
1982,21740,1,male,919.0110915402668,16896,276
1982,21740,2,female,994.5157977213531,17356,275
1982,21740,4,total_post,1231.6874437038468,42182,308
1982,21740,12,female_male,1922.146710852899,34252,289
1983,10210,0,total_pre,4292.993374637829,33924,256
1983,10210,1,male,2225.3378797025575,12151,232
1983,10210,2,female,3276.299074652803,21616,255
1983,10210,4,total_post,4292.9933788450535,33924,256
1983,10210,12,female_male,4158.4341734974005,33767,255
1983,21720,0,total_pre,1157.7274708936393,13143,255
1983,21720,1,male,1195.8241610039167,5124,249
1983,21720,2,female,1149.3485976225938,4856,252
1983,21720,4,total_post,1157.727462364694,13143,255
1983,21720,12,female_male,2343.638042879201,9980,254
1983,21740,0,total_pre,1458.7502401965805,165834,328
1983,21740,1,male,1396.9736201575058,33406,316
1983,21740,2,female,1709.1297966574823,34195,315
1983,21740,4,total_post,1458.7502400595317,165834,328
1983,21740,12,female_male,3000.8899785835033,67601,320
1984,10210,0,total_pre,4068.616456915296,33894,271
1984,10210,1,male,2003.8321609233017,11340,245
1984,10210,2,female,3266.4346892255244,22553,268
1984,10210,4,total_post,4068.616454467173,33894,271
1984,10210,12,female_male,4357.786719851113,33893,270
1984,21720,0,total_pre,2358.715214881282,12133,264
1984,21720,1,male,1522.3154948154759,6090,259
1984,21720,2,female,1446.3619688429649,5946,259
1984,21720,4,total_post,2358.715240687997,12133,264
1984,21720,12,female_male,2965.5830038352724,12036,263
1984,21740,0,total_pre,1806.2646547366055,51847,330
1984,21740,1,male,1218.0958235054902,21241,299
1984,21740,2,female,1450.4603914111237,23002,299
1984,21740,4,total_post,1806.2646552655854,51847,330
1984,21740,12,female_male,2634.092070332202,44243,312
1985,10210,0,total_pre,1429.1674897528874,33824,261
1985,10210,1,male,869.4144566548479,11196,218
1985,10210,2,female,1442.6862816644225,22628,259
1985,10210,4,total_post,1429.1674896856484,33824,261
1985,10210,12,female_male,2146.4839145942237,33824,261
1985,21720,0,total_pre,880.8138919147581,16921,345
1985,21720,1,male,656.4550796488655,7522,329
1985,21720,2,female,699.5552954352208,7177,325
1985,21720,4,total_post,880.8138906853756,16921,345
1985,21720,12,female_male,1355.7871812844883,14699,331
1985,21740,0,total_pre,314.82556423990457,209638,346
1985,21740,1,male,487.09148419214995,40059,306
1985,21740,2,female,545.6692923780239,46746,316
1985,21740,4,total_post,314.8255638595871,209638,346
1985,21740,12,female_male,1041.9435490089977,86805,326
1986,10210,0,total_pre,2221.9547087143396,30470,249
1986,10210,1,male,1003.2328798148735,11075,218
1986,10210,2,female,2294.827859319931,19395,248
1986,10210,4,total_post,2221.9547041267924,30470,249
1986,10210,12,female_male,2634.825350179737,30470,249
1986,21720,0,total_pre,2184.6775361010996,15872,349
1986,21720,1,male,1347.0826423429464,7226,324
1986,21720,2,female,1439.0772410191018,7165,324
1986,21720,4,total_post,2184.677552409996,15872,349
1986,21720,12,female_male,2773.5943623956896,14391,331
1986,21740,0,total_pre,1426.0573615948506,137690,346
1986,21740,1,male,988.2265805248984,36163,311
1986,21740,2,female,1306.2237959442048,35186,323
1986,21740,4,total_post,1426.0573624720876,137690,346
1986,21740,12,female_male,2245.3424466375236,71349,330
1987,10210,0,total_pre,1877.2676677119016,31241,224
1987,10210,1,male,992.3643487496444,11536,211
1987,10210,2,female,1928.0858076517095,19705,222
1987,10210,4,total_post,1877.2676690248225,31241,224
1987,10210,12,female_male,2598.5912814859353,31241,224
1987,21720,0,total_pre,2085.6955949984185,9483,339
1987,21720,1,male,1200.3448521733487,4703,334
1987,21720,2,female,1092.2200767628392,4547,332
1987,21720,4,total_post,2085.6956115652015,9483,339
1987,21720,12,female_male,2288.5689364701193,9250,338
1987,21740,0,total_pre,1513.9300281487392,38518,329
1987,21740,1,male,1125.8882348330324,17400,311
1987,21740,2,female,1216.9467995982243,16963,325
1987,21740,4,total_post,1513.9300268070754,38518,329
1987,21740,12,female_male,2315.894144216906,34363,327
1988,10210,0,total_pre,1614.0953406211938,27138,254
1988,10210,1,male,892.1167229622275,9918,216
1988,10210,2,female,1495.1988394481048,17219,254
1988,10210,4,total_post,1614.095340137752,27138,254
1988,10210,12,female_male,2271.805861923326,27137,254
1988,21720,0,total_pre,1622.5031709678008,6765,339
1988,21720,1,male,857.5116133479067,3381,307
1988,21720,2,female,861.8249855113014,3335,316
1988,21720,4,total_post,1622.5031629341868,6765,339
1988,21720,12,female_male,1712.2718755984959,6716,338
1988,21740,0,total_pre,1879.235140869765,101211,361
1988,21740,1,male,1157.1236276521126,39152,326
1988,21740,2,female,1628.5141161171832,42165,334
1988,21740,4,total_post,1879.235141443806,101211,361
1988,21740,12,female_male,2556.8576431824176,81317,343
1989,10210,0,total_pre,2111.553085637902,29672,236
1989,10210,1,male,1229.3534668379837,12084,221
1989,10210,2,female,1914.5694574215654,17588,234
1989,10210,4,total_post,2111.553086494318,29672,236
1989,10210,12,female_male,3033.7065891301495,29672,236
1989,21720,0,total_pre,1169.128650170621,4246,293
1989,21720,1,male,603.1414539392854,2144,276
1989,21720,2,female,619.4727936146272,2083,269
1989,21720,4,total_post,1169.1286491270098,4246,293
1989,21720,12,female_male,1222.9495112010882,4227,291
1989,21740,0,total_pre,1709.1348809562446,79967,350
1989,21740,1,male,1410.0066061051293,31819,334
1989,21740,2,female,1248.870043080688,29380,337
1989,21740,4,total_post,1709.1348801018746,79967,350
1989,21740,12,female_male,2536.871018981995,61199,349
1990,10210,0,total_pre,2257.1018501418926,30257,251
1990,10210,1,male,1288.5495150659935,11951,218
1990,10210,2,female,1873.4477273338266,18297,251
1990,10210,4,total_post,2257.1018496565484,30257,251
1990,10210,12,female_male,3080.6953459754595,30248,251
1990,21720,0,total_pre,1188.1470655645849,5428,329
1990,21720,1,male,633.1171426477155,2389,300
1990,21720,2,female,655.1506674462834,2388,298
1990,21720,4,total_post,1188.1470405446812,5428,329
1990,21720,12,female_male,1281.6296809332582,4777,317
1990,21740,0,total_pre,1387.1696244783366,106523,353
1990,21740,1,male,1039.360126932,36950,314
1990,21740,2,female,1185.5231337379923,37108,321
1990,21740,4,total_post,1387.1696260418398,106523,353
1990,21740,12,female_male,2146.8910440231334,74058,333
1991,10210,0,total_pre,3358.7726884169374,27986,248
1991,10210,1,male,1753.3791915085083,11215,232
1991,10210,2,female,2708.700903823508,16771,246
1991,10210,4,total_post,3358.772692870837,27986,248
1991,10210,12,female_male,4252.256579882422,27986,248
1991,21720,0,total_pre,1133.0625733673007,7001,313
1991,21720,1,male,894.5474395399882,3226,287
1991,21720,2,female,932.7712652954208,3231,292
1991,21720,4,total_post,1133.0625934823838,7001,313
1991,21720,12,female_male,1822.0465266588515,6457,311
1991,21740,0,total_pre,891.5076727148376,137950,366
1991,21740,1,male,648.3113314197168,36019,327
1991,21740,2,female,555.9250038950814,33280,336
1991,21740,4,total_post,891.5076727531754,137950,366
1991,21740,12,female_male,1200.010868318742,69299,345
1992,10210,0,total_pre,1406.16452384209,23628,229
1992,10210,1,male,771.9729197155885,9654,207
1992,10210,2,female,1160.8284281494887,13974,227
1992,10210,4,total_post,1406.1645247236556,23628,229
1992,10210,12,female_male,1834.145382622584,23628,229
1992,21720,0,total_pre,793.2438314132419,10129,332
1992,21720,1,male,762.0968078749225,4896,319
1992,21720,2,female,732.967651398939,4658,315
1992,21720,4,total_post,793.2438289542725,10129,332
1992,21720,12,female_male,1497.3312174882585,9554,331
1992,21740,0,total_pre,747.4014621499712,61165,343
1992,21740,1,male,671.1399366317248,19840,306
1992,21740,2,female,717.6774383884707,19615,308
1992,21740,4,total_post,747.4014630974422,61165,343
1992,21740,12,female_male,1385.8869051508643,39455,318
1993,10210,0,total_pre,1818.5478157682858,26651,242
1993,10210,1,male,1118.6695188815752,10225,216
1993,10210,2,female,1690.303353433572,16347,238
1993,10210,4,total_post,1818.5478194761151,26651,242
1993,10210,12,female_male,2624.9980874730045,26572,241
