year,species_code,sex,sex_desc,iss,nss,nhl
1982,10210,0,total_pre,230.13201183061244,744,35
1982,10210,1,male,93.5208999158791,317,31
1982,10210,2,female,164.13115386196998,419,33
1982,10210,4,total_post,219.02149833054827,744,35
1982,10210,12,female_male,253.24179125873204,736,34
1982,21740,0,total_pre,216.06365486565662,1500,81
1982,21740,1,male,130.77468538469654,654,65
1982,21740,2,female,162.50148047374586,742,71
1982,21740,4,total_post,210.1181526295764,1500,81
1982,21740,12,female_male,335.50870895686506,1396,76
1983,10210,0,total_pre,181.385874868573,709,37
1983,10210,1,male,77.36131788896667,303,28
1983,10210,2,female,114.96627737640137,406,35
1983,10210,4,total_post,166.8535995638802,709,37
1983,10210,12,female_male,197.18755552876493,709,37
1983,21740,0,total_pre,275.5991597673691,1931,95
1983,21740,1,male,151.95703313748314,931,88
1983,21740,2,female,183.31165727306103,990,85
1983,21740,4,total_post,274.32684426428193,1931,95
1983,21740,12,female_male,381.85456402410335,1921,94
1984,10210,0,total_pre,212.9708196100673,796,56
1984,10210,1,male,90.67686214821293,329,42
1984,10210,2,female,137.882331564134,467,49
1984,10210,4,total_post,203.6614774756099,796,56
1984,10210,12,female_male,237.11832882381265,796,56
1984,21720,0,total_pre,119.03054501665592,316,18
1984,21720,1,male,64.73858696498515,187,18
1984,21720,2,female,43.42840469512008,129,18
1984,21720,4,total_post,81.93239044517031,316,18
1984,21720,12,female_male,124.97264704817476,316,18
1984,21740,0,total_pre,342.69490521397114,1806,116
1984,21740,1,male,173.16159404238059,826,100
1984,21740,2,female,190.7532533337621,943,110
1984,21740,4,total_post,334.43460050440643,1806,116
1984,21740,12,female_male,418.98902406400657,1769,115
1985,10210,0,total_pre,204.62227826740158,802,43
1985,10210,1,male,96.80349588452721,338,36
1985,10210,2,female,129.2045652379607,464,35
1985,10210,4,total_post,190.68555608957678,802,43
1985,10210,12,female_male,234.25286984970714,802,43
1985,21740,0,total_pre,90.31653086005547,1890,81
1985,21740,1,male,126.94543187659043,852,72
1985,21740,2,female,117.13768107726669,1002,76
1985,21740,4,total_post,89.98854546973007,1890,81
1985,21740,12,female_male,266.82051444064695,1854,81
1986,10210,0,total_pre,241.84795499907494,739,34
1986,10210,1,male,107.44565479508618,321,26
1986,10210,2,female,160.7557465470602,418,32
1986,10210,4,total_post,226.74809051077008,739,34
