year,species_code,sex,sex_desc,iss,nss,nhls
1982,10210,0,total_pre,3346.360352782913,37023,246
1982,10210,1,male,2015.6841378527072,13838,218
1982,10210,2,female,3083.3738438850573,23178,246
1982,10210,4,total_post,3346.360353277635,37023,246
1982,10210,12,female_male,4185.861471914284,37016,246
1982,21720,0,total_pre,3755.3285799609366,10863,313
1982,21720,1,male,2328.9573082914803,5288,300
1982,21720,2,female,2427.2965091061806,5434,307
1982,21720,4,total_post,3755.328591602086,10863,313
1982,21720,12,female_male,4775.9976437400155,10722,310
1982,21740,0,total_pre,1325.906605530385,42182,308
1982,21740,1,male,1065.397447229512,16896,276
1982,21740,2,female,1156.7134435882222,17356,275
1982,21740,4,total_post,1325.9066049905373,42182,308
1982,21740,12,female_male,2232.0464779807853,34252,289
1983,10210,0,total_pre,5592.664340168866,33924,256
1983,10210,1,male,2970.04826955299,12151,232
1983,10210,2,female,4790.625151019303,21616,255
1983,10210,4,total_post,5592.6643451943655,33924,256
1983,10210,12,female_male,5162.972340978861,33767,255
1983,21720,0,total_pre,1340.3823858627743,13143,255
1983,21720,1,male,1826.972276431554,5124,249
1983,21720,2,female,1857.690094386386,4856,252
1983,21720,4,total_post,1340.3823569892243,13143,255
1983,21720,12,female_male,3679.5623000486053,9980,254
1983,21740,0,total_pre,1557.417247748888,165834,328
1983,21740,1,male,1656.1405158688685,33406,316
1983,21740,2,female,2023.6264458064898,34195,315
1983,21740,4,total_post,1557.4172474329428,165834,328
1983,21740,12,female_male,3561.150890678447,67601,320
1984,10210,0,total_pre,5436.888788135319,33894,271
1984,10210,1,male,2734.3829965984996,11340,245
1984,10210,2,female,4760.3393904339455,22553,268
1984,10210,4,total_post,5436.888792191518,33894,271
1984,10210,12,female_male,5998.650219269259,33893,270
1984,21720,0,total_pre,3349.0040667613034,12133,264
1984,21720,1,male,2440.913647712588,6090,259
1984,21720,2,female,2359.904018039593,5946,259
1984,21720,4,total_post,3349.004129798168,12133,264
1984,21720,12,female_male,4799.647372445072,12036,263
1984,21740,0,total_pre,2176.808208162465,51847,330
1984,21740,1,male,1583.5827851392553,21241,299
1984,21740,2,female,1909.172418033995,23002,299
1984,21740,4,total_post,2176.8082069880847,51847,330
