year,species_code,sex,sex_desc,iss,nss,nhl
1982,10210,0,total_pre,352.49828294513867,744,35
1982,10210,1,male,157.47222149029503,317,31
1982,10210,2,female,289.27261701015385,419,33
1982,10210,4,total_post,347.0347072613291,744,35
1982,10210,12,female_male,429.23247311835945,736,34
1982,21740,0,total_pre,237.4847773859286,1500,81
1982,21740,1,male,164.518325647728,654,65
1982,21740,2,female,210.00178890918113,742,71
1982,21740,4,total_post,238.06248694887023,1500,81
1982,21740,12,female_male,425.14248340016684,1396,76
1983,10210,0,total_pre,255.4591771058624,709,37
1983,10210,1,male,128.38892499398912,303,28
1983,10210,2,female,175.7991014495682,406,35
1983,10210,4,total_post,238.10843658080404,709,37
1983,10210,12,female_male,312.63795062092305,709,37
1983,21740,0,total_pre,296.86316132300544,1931,95
1983,21740,1,male,236.32092066418062,931,88
1983,21740,2,female,295.97712448572383,990,85
1983,21740,4,total_post,292.31687386563044,1931,95
1983,21740,12,female_male,594.6250764803833,1921,94
1984,10210,0,total_pre,347.48861793734517,796,56
1984,10210,1,male,169.55971437275574,329,42
1984,10210,2,female,262.1587583692858,467,49
1984,10210,4,total_post,344.5952798506559,796,56
1984,10210,12,female_male,440.9705323483061,796,56
1984,21720,0,total_pre,193.1477075867847,316,18
1984,21720,1,male,111.7243346997579,187,18
1984,21720,2,female,67.52063991354942,129,18
1984,21720,4,total_post,136.79026737473677,316,18
1984,21720,12,female_male,201.02619192253783,316,18
1984,21740,0,total_pre,432.8586397579155,1806,116
1984,21740,1,male,272.18617817620316,826,100
1984,21740,2,female,282.7184961847418,943,110
1984,21740,4,total_post,423.81970322835383,1806,116
1984,21740,12,female_male,630.1421913432436,1769,115
1985,10210,0,total_pre,289.7401319748979,802,43
1985,10210,1,male,149.07518145553146,338,36
1985,10210,2,female,200.6737989480999,464,35
1985,10210,4,total_post,273.8653413897353,802,43
1985,10210,12,female_male,360.16121219925355,802,43
1985,21740,0,total_pre,87.12049281292616,1890,81
1985,21740,1,male,163.60621598755844,852,72
1985,21740,2,female,138.89229925118434,1002,76
1985,21740,4,total_post,86.75983542732207,1890,81
1985,21740,12,female_male,327.161343635601,1854,81
1986,10210,0,total_pre,413.7174750604188,739,34
1986,10210,1,male,197.21655159615005,321,26
1986,10210,2,female,312.6161809995168,418,32
1986,10210,4,total_post,398.79863029314447,739,34
1986,10210,12,female_male,516.4997430774765,739,34
1986,21740,0,total_pre,265.1100690681906,1344,45
1986,21740,1,male,156.1071572219042,608,44
1986,21740,2,female,230.6420641227206,702,44
1986,21740,4,total_post,270.62713772541906,1344,45
1986,21740,12,female_male,399.0918078641267,1310,45
1987,10210,0,total_pre,263.38955033269866,798,16
1987,10210,1,male,140.89006220496645,356,14
1987,10210,2,female,178.20997548240007,442,16
1987,10210,4,total_post,239.27062439663416,798,16
1987,10210,12,female_male,333.24249769918777,798,16
1987,21740,0,total_pre,240.8125774754645,1547,34
1987,21740,1,male,178.73165033704475,698,31
1987,21740,2,female,212.27001392287593,819,33
1987,21740,4,total_post,235.89371751157802,1547,34
1987,21740,12,female_male,422.66638124016015,1517,34
1988,10210,0,total_pre,217.10183686610225,543,14
1988,10210,1,male,111.12664124632809,236,13
1988,10210,2,female,174.35074440743037,307,14
1988,10210,4,total_post,224.0123891701402,543,14
1988,10210,12,female_male,302.4480625548205,543,14
1988,21720,0,total_pre,384.7613525795884,639,27
1988,21720,1,male,260.4822055036095,316,27
1988,21720,2,female,206.61533104251893,323,27
1988,21720,4,total_post,318.474143939834,639,27
1988,21720,12,female_male,499.15567251280146,639,27
1988,21740,0,total_pre,272.39981288933916,1173,26
1988,21740,1,male,152.93744185284362,572,26
1988,21740,2,female,179.6269155243916,587,26
1988,21740,4,total_post,250.9270912249979,1173,26
1988,21740,12,female_male,347.9833178893582,1159,26
1989,10210,0,total_pre,358.95717183741635,740,24
1989,10210,1,male,174.1234068348958,318,23
1989,10210,2,female,277.4142483031023,422,23
1989,10210,4,total_post,338.51403370665406,740,24
1989,10210,12,female_male,472.2131197754911,740,24
1989,21720,0,total_pre,430.4595245752371,703,40
1989,21720,1,male,238.98972252091778,363,38
1989,21720,2,female,221.92123977452212,334,37
1989,21720,4,total_post,355.5750948692078,703,40
1989,21720,12,female_male,490.6031549167996,697,40
1989,21740,0,total_pre,432.90858614952253,1227,38
1989,21740,1,male,272.7028821627844,530,36
1989,21740,2,female,247.01976147453271,608,36
1989,21740,4,total_post,400.9621635051765,1227,38
1989,21740,12,female_male,546.6325647751132,1138,37
1990,10210,0,total_pre,410.6552213259611,792,28
1990,10210,1,male,255.55052899561372,357,24
1990,10210,2,female,244.8018546293002,435,27
1990,10210,4,total_post,399.52152825281274,792,28
1990,10210,12,female_male,519.486473590588,792,28
1990,21720,0,total_pre,230.58776804801198,793,72
1990,21720,1,male,166.56318694496954,400,67
1990,21720,2,female,132.2888637584169,393,69
1990,21720,4,total_post,160.91558076337424,793,72
1990,21720,12,female_male,309.14257488002505,793,72
1990,21740,0,total_pre,332.44519495527703,1257,46
1990,21740,1,male,281.8886139187949,573,46
1990,21740,2,female,325.95282064072575,623,45
1990,21740,4,total_post,335.49123641035595,1257,46
1990,21740,12,female_male,649.8865211666114,1196,46
1991,10210,0,total_pre,454.605985432586,742,26
1991,10210,1,male,307.0860294825385,334,23
1991,10210,2,female,254.85984910895783,408,23
1991,10210,4,total_post,437.5075913100819,742,26
1991,10210,12,female_male,580.9953859046053,742,26
1991,21720,0,total_pre,198.8424668789434,659,43
1991,21720,1,male,151.76294633771136,309,40
1991,21720,2,female,136.63452115667087,350,40
1991,21720,4,total_post,175.92517077836308,659,43
1991,21720,12,female_male,326.1047556804674,659,43
1991,21740,0,total_pre,204.71588737357456,1063,46
1991,21740,1,male,129.64402220863397,515,45
1991,21740,2,female,125.51459475306324,494,40
1991,21740,4,total_post,202.18098249144757,1063,46
1991,21740,12,female_male,271.2989443581573,1009,45
1992,10210,0,total_pre,288.8684982870766,606,16
1992,10210,1,male,131.5361733926471,248,14
