year,species_code,sex,sex_desc,iss,nss,nhls
1982,10210,0,total_pre,3277.8656256877293,37023,246
1982,10210,1,male,1929.3992267526614,13838,218
1982,10210,2,female,3198.219169954761,23178,246
1982,10210,4,total_post,3277.8656259690924,37023,246
1982,10210,12,female_male,4203.759618701027,37016,246
1982,21720,0,total_pre,3777.0559000614617,10863,313
1982,21720,1,male,2329.192714724232,5288,300
1982,21720,2,female,2438.176629090535,5434,307
1982,21720,4,total_post,3777.055928201741,10863,313
1982,21720,12,female_male,4787.551544066479,10722,310
1982,21740,0,total_pre,1299.2574024606038,42182,308
1982,21740,1,male,1052.4704028460721,16896,276
1982,21740,2,female,1163.3521374094214,17356,275
1982,21740,4,total_post,1299.2574025265928,42182,308
1982,21740,12,female_male,2224.8482974782078,34252,289
1983,10210,0,total_pre,6027.071694436551,33924,256
1983,10210,1,male,3253.695825557886,12151,232
1983,10210,2,female,4945.636755191132,21616,255
1983,10210,4,total_post,6027.0716935876135,33924,256
1983,10210,12,female_male,5703.909326410254,33767,255
1983,21720,0,total_pre,1410.805651354063,13143,255
1983,21720,1,male,1895.9128795018364,5124,249
1983,21720,2,female,1891.0843588116963,4856,252
1983,21720,4,total_post,1410.8056695606933,13143,255
1983,21720,12,female_male,3780.734824775032,9980,254
1983,21740,0,total_pre,1406.7231184292823,165834,328
1983,21740,1,male,1629.6768636949496,33406,316
1983,21740,2,female,1984.1920807167103,34195,315
1983,21740,4,total_post,1406.7231187620725,165834,328
1983,21740,12,female_male,3515.461993299198,67601,320
1984,10210,0,total_pre,5536.387862559916,33894,271
1984,10210,1,male,2834.936785093198,11340,245
1984,10210,2,female,4647.027241053209,22553,268
1984,10210,4,total_post,5536.387861466287,33894,271
1984,10210,12,female_male,5929.162170479207,33893,270
1984,21720,0,total_pre,3229.4560110343273,12133,264
1984,21720,1,male,2381.2140642839277,6090,259
1984,21720,2,female,2252.289189257831,5946,259
1984,21720,4,total_post,3229.455991277541,12133,264
1984,21720,12,female_male,4631.941072689665,12036,263
1984,21740,0,total_pre,2159.3114207182343,51847,330
1984,21740,1,male,1561.4689883866004,21241,299
