year,species_code,sex,sex_desc,iss,nss,nhl
1982,10210,0,total_pre,349.6623573486263,744,35
1982,10210,1,male,154.97605353851884,317,31
1982,10210,2,female,270.1701790553487,419,33
1982,10210,4,total_post,342.10431820402573,744,35
1982,10210,12,female_male,412.2928107305321,736,34
1982,21740,0,total_pre,238.69946273793428,1500,81
1982,21740,1,male,165.44703439477448,654,65
1982,21740,2,female,207.77432532172622,742,71
1982,21740,4,total_post,239.73219072214675,1500,81
1982,21740,12,female_male,422.9171996365697,1396,76
1983,10210,0,total_pre,253.99340789525928,709,37
1983,10210,1,male,120.78471143294178,303,28
1983,10210,2,female,167.49646051317845,406,35
1983,10210,4,total_post,228.59118204470215,709,37
1983,10210,12,female_male,300.54699855367187,709,37
1983,21740,0,total_pre,316.6915787409864,1931,95
1983,21740,1,male,280.2139418093351,931,88
1983,21740,2,female,280.7538902999246,990,85
1983,21740,4,total_post,316.84537895862087,1931,95
1983,21740,12,female_male,631.9778289579557,1921,94
1984,10210,0,total_pre,339.15999577892694,796,56
1984,10210,1,male,164.44167859489724,329,42
1984,10210,2,female,258.89605926143395,467,49
1984,10210,4,total_post,332.6917732376921,796,56
1984,10210,12,female_male,431.05107707835975,796,56
1984,21720,0,total_pre,187.54238054610926,316,18
1984,21720,1,male,114.86766695466102,187,18
1984,21720,2,female,60.634985339565816,129,18
1984,21720,4,total_post,129.63221671043053,316,18
1984,21720,12,female_male,189.5898880998388,316,18
1984,21740,0,total_pre,415.5275228075054,1806,116
1984,21740,1,male,255.20525807663057,826,100
1984,21740,2,female,270.08059961508616,943,110
1984,21740,4,total_post,413.7237116148397,1806,116
1984,21740,12,female_male,593.4893231644321,1769,115
1985,10210,0,total_pre,283.53523197038334,802,43
1985,10210,1,male,148.04564429689702,338,36
1985,10210,2,female,191.7110086159691,464,35
1985,10210,4,total_post,265.3557230577786,802,43
1985,10210,12,female_male,350.08657881355316,802,43
1985,21740,0,total_pre,92.42760273742219,1890,81
1985,21740,1,male,172.07809884836058,852,72
1985,21740,2,female,148.72369638651907,1002,76
1985,21740,4,total_post,92.25766854121241,1890,81
1985,21740,12,female_male,345.020837198441,1854,81
1986,10210,0,total_pre,369.6687700055012,739,34
1986,10210,1,male,180.00176752718627,321,26
