year,species_code,sex,sex_desc,iss,nss,nhls
1982,10210,0,total_pre,2598.7277248708756,37023,246
1982,10210,1,male,1426.599938330569,13838,218
1982,10210,2,female,2230.3243473535745,23178,246
1982,10210,4,total_post,2598.727725652427,37023,246
1982,10210,12,female_male,3127.748337987519,37016,246
1982,21720,0,total_pre,2397.5479087714516,10863,313
1982,21720,1,male,1355.04909342723,5288,300
1982,21720,2,female,1400.3516323031229,5434,307
1982,21720,4,total_post,2397.547915667311,10863,313
1982,21720,12,female_male,2760.8048464034887,10722,310
1982,21740,0,total_pre,1228.9849521541464,42182,308
1982,21740,1,male,920.9965029272945,16896,276
1982,21740,2,female,1006.3645429494305,17356,275
1982,21740,4,total_post,1228.984950718224,42182,308
1982,21740,12,female_male,1933.0530180581382,34252,289
1983,10210,0,total_pre,4418.807750631311,33924,256
1983,10210,1,male,2211.4432797751065,12151,232
1983,10210,2,female,3414.328362945665,21616,255
1983,10210,4,total_post,4418.807753573114,33924,256
1983,10210,12,female_male,4277.724813523004,33767,255
1983,21720,0,total_pre,1175.594824442167,13143,255
1983,21720,1,male,1183.3533202092863,5124,249
1983,21720,2,female,1140.6516607399972,4856,252
1983,21720,4,total_post,1175.5948128927994,13143,255
1983,21720,12,female_male,2322.332953003458,9980,254
1983,21740,0,total_pre,1383.641296129003,165834,328
1983,21740,1,male,1443.7369300556713,33406,316
1983,21740,2,female,1778.6346908561745,34195,315
1983,21740,4,total_post,1383.64129644047,165834,328
1983,21740,12,female_male,3117.0496988262307,67601,320
1984,10210,0,total_pre,3921.920780778378,33894,271
1984,10210,1,male,1861.9442541273659,11340,245
1984,10210,2,female,3099.5567320899218,22553,268
1984,10210,4,total_post,3921.920778728576,33894,271
1984,10210,12,female_male,4246.242975628592,33893,270
1984,21720,0,total_pre,2407.4738112288874,12133,264
1984,21720,1,male,1537.0549018209956,6090,259
1984,21720,2,female,1508.6853197825326,5946,259
1984,21720,4,total_post,2407.4737835705587,12133,264
1984,21720,12,female_male,3052.2442501183536,12036,263
1984,21740,0,total_pre,1856.8074675770213,51847,330
1984,21740,1,male,1257.7584968067563,21241,299
1984,21740,2,female,1465.9729463033643,23002,299
1984,21740,4,total_post,1856.807469891596,51847,330
1984,21740,12,female_male,2684.1933953427983,44243,312
1985,10210,0,total_pre,1426.5508835982641,33824,261
1985,10210,1,male,891.3368261650129,11196,218
1985,10210,2,female,1412.6957958400137,22628,259
1985,10210,4,total_post,1426.5508828676866,33824,261
1985,10210,12,female_male,2136.2865469984854,33824,261
1985,21720,0,total_pre,893.9183297826722,16921,345
1985,21720,1,male,679.0333722064785,7522,329
1985,21720,2,female,715.6366562861774,7177,325
1985,21720,4,total_post,893.9183250028232,16921,345
