year,species_code,sex,sex_desc,iss,nss,nhl
1982,10210,0,total_pre,97160.23821365142,744,35
1982,10210,1,male,37678.552389159006,317,31
1982,10210,2,female,41478.879840248235,419,33
1982,10210,4,total_post,82078.53626714654,744,35
1982,10210,12,female_male,57930.52805134918,736,34
1982,21740,0,total_pre,42234.037766923815,1500,81
1982,21740,1,male,14383.343474465066,654,65
1982,21740,2,female,14197.63762922987,742,71
1982,21740,4,total_post,39939.315062196656,1500,81
1982,21740,12,female_male,23397.973949108462,1396,76
1983,10210,0,total_pre,169044.0032386011,709,37
1983,10210,1,male,60175.025065631526,303,28
1983,10210,2,female,73740.76525893205,406,35
1983,10210,4,total_post,136040.06689395758,709,37
1983,10210,12,female_male,99418.38080819623,709,37
1983,21740,0,total_pre,151935.71681566854,1931,95
1983,21740,1,male,39432.5744532986,931,88
1983,21740,2,female,37645.63036445799,990,85
1983,21740,4,total_post,133745.35994262583,1931,95
1983,21740,12,female_male,52324.426259626984,1921,94
1984,10210,0,total_pre,175579.67102467275,796,56
1984,10210,1,male,61831.93943047666,329,42
1984,10210,2,female,67864.87268131091,467,49
1984,10210,4,total_post,138622.38073212735,796,56
1984,10210,12,female_male,102506.88333712173,796,56
1984,21720,0,total_pre,18733.019194458735,316,18
1984,21720,1,male,6794.690501940598,187,18
1984,21720,2,female,4817.406967940297,129,18
1984,21720,4,total_post,12936.48775639462,316,18
1984,21720,12,female_male,10330.628815214057,316,18
1984,21740,0,total_pre,111897.89002722128,1806,116
1984,21740,1,male,38434.9800141152,826,100
1984,21740,2,female,41220.71998820908,943,110
1984,21740,4,total_post,97594.22228003104,1806,116
1984,21740,12,female_male,47524.73184671121,1769,115
1985,10210,0,total_pre,83167.09957682977,802,43
1985,10210,1,male,28005.63371693792,338,36
1985,10210,2,female,37762.4425438398,464,35
1985,10210,4,total_post,71236.69747134151,802,43
1985,10210,12,female_male,56599.03751534026,802,43
1985,21740,0,total_pre,37425.76569356368,1890,81
1985,21740,1,male,7566.837221632289,852,72
1985,21740,2,female,7859.094167649784,1002,76
1985,21740,4,total_post,34180.44893512945,1890,81
1985,21740,12,female_male,12588.77567064295,1854,81
1986,10210,0,total_pre,124850.40163682903,739,34
1986,10210,1,male,40723.419860640104,321,26
1986,10210,2,female,57202.070538169995,418,32
1986,10210,4,total_post,103073.38846492338,739,34
1986,10210,12,female_male,81834.3585722177,739,34
1986,21740,0,total_pre,109749.62031522284,1344,45
1986,21740,1,male,28668.062949120274,608,44
1986,21740,2,female,27017.64235071189,702,44
1986,21740,4,total_post,96216.19578423793,1344,45
1986,21740,12,female_male,43596.828803956756,1310,45
1987,10210,0,total_pre,119862.01830745107,798,16
1987,10210,1,male,34739.03934645876,356,14
1987,10210,2,female,51535.60261745082,442,16
1987,10210,4,total_post,91405.03807233137,798,16
1987,10210,12,female_male,68970.86304217586,798,16
1987,21740,0,total_pre,60003.45117387324,1547,34
1987,21740,1,male,24250.54926241861,698,31
1987,21740,2,female,20236.760213661255,819,33
1987,21740,4,total_post,55734.590686774834,1547,34
1987,21740,12,female_male,28580.036694872422,1517,34
1988,10210,0,total_pre,75000.7608212518,543,14
1988,10210,1,male,18833.40035243146,236,13
1988,10210,2,female,34582.414705997675,307,14
1988,10210,4,total_post,59113.20977010033,543,14
1988,10210,12,female_male,44363.621887669484,543,14
1988,21720,0,total_pre,9706.940374949449,639,27
1988,21720,1,male,3561.662759523154,316,27
1988,21720,2,female,4149.06430088914,323,27
1988,21720,4,total_post,8140.065384611521,639,27
1988,21720,12,female_male,6977.633510916241,639,27
1988,21740,0,total_pre,72651.6595333186,1173,26
1988,21740,1,male,25176.06554861325,572,26
1988,21740,2,female,26817.61393228495,587,26
1988,21740,4,total_post,62825.448153791025,1173,26
1988,21740,12,female_male,37936.669049305434,1159,26
1989,10210,0,total_pre,112851.88367633779,740,24
1989,10210,1,male,35645.36099939316,318,23
1989,10210,2,female,50481.11930559502,422,23
1989,10210,4,total_post,97137.36988656982,740,24
1989,10210,12,female_male,71428.6320861656,740,24
1989,21720,0,total_pre,6349.938209601379,703,40
1989,21720,1,male,2249.971101906426,363,38
1989,21720,2,female,2698.4216105271717,334,37
1989,21720,4,total_post,5125.242231371107,703,40
