year,species_code,sex,sex_desc,iss,nss,nhls
1982,10210,0,total_pre,12366.789032617886,37023,246
1982,10210,1,male,5468.4833866215195,13838,218
1982,10210,2,female,7163.85435184043,23178,246
1982,10210,4,total_post,12366.789039802181,37023,246
1982,10210,12,female_male,12421.598890753794,37016,246
1982,21720,0,total_pre,7273.829693765269,10863,313
1982,21720,1,male,3583.511193386315,5288,300
1982,21720,2,female,3542.121356309811,5434,307
1982,21720,4,total_post,7273.82995691723,10863,313
1982,21720,12,female_male,7120.970201656019,10722,310
1982,21740,0,total_pre,14047.627898052191,42182,308
1982,21740,1,male,5984.889337414278,16896,276
1982,21740,2,female,6133.273079456394,17356,275
1982,21740,4,total_post,14047.6279001437,42182,308
1982,21740,12,female_male,12077.334944455071,34252,289
1983,10210,0,total_pre,18671.407797760967,33924,256
1983,10210,1,male,8265.194874714392,12151,232
1983,10210,2,female,10204.02138044802,21616,255
1983,10210,4,total_post,18671.407859255174,33924,256
1983,10210,12,female_male,18412.307703320035,33767,255
1983,21720,0,total_pre,7954.1493026814205,13143,255
1983,21720,1,male,3191.004705317199,5124,249
1983,21720,2,female,3001.7803832533673,4856,252
1983,21720,4,total_post,7954.149353778977,13143,255
1983,21720,12,female_male,6186.070112191443,9980,254
1983,21740,0,total_pre,32947.051583366134,165834,328
1983,21740,1,male,9805.958490279558,33406,316
1983,21740,2,female,10036.182639871946,34195,315
1983,21740,4,total_post,32947.05167701658,165834,328
1983,21740,12,female_male,19781.048396223643,67601,320
1984,10210,0,total_pre,18088.54759931805,33894,271
1984,10210,1,male,7013.949992414942,11340,245
1984,10210,2,female,10753.221700610928,22553,268
1984,10210,4,total_post,18088.54761397578,33894,271
1984,10210,12,female_male,17670.90337228535,33893,270
1984,21720,0,total_pre,8570.628209780505,12133,264
1984,21720,1,male,4165.1896851895035,6090,259
1984,21720,2,female,4217.374420937804,5946,259
1984,21720,4,total_post,8570.628144939608,12133,264
1984,21720,12,female_male,8367.762731576455,12036,263
1984,21740,0,total_pre,17959.011158393234,51847,330
1984,21740,1,male,8212.068374423823,21241,299
1984,21740,2,female,8171.818594316101,23002,299
1984,21740,4,total_post,17959.011321402988,51847,330
1984,21740,12,female_male,16355.628195888641,44243,312
1985,10210,0,total_pre,13483.838084727557,33824,261
1985,10210,1,male,5080.419281041814,11196,218
1985,10210,2,female,8586.339521095286,22628,259
1985,10210,4,total_post,13483.83807837407,33824,261
1985,10210,12,female_male,13539.239870166584,33824,261
1985,21720,0,total_pre,6627.2521601282,16921,345
1985,21720,1,male,3052.5215342797064,7522,329
1985,21720,2,female,2388.6405237630815,7177,325
1985,21720,4,total_post,6627.252278346166,16921,345
1985,21720,12,female_male,5389.103627956605,14699,331
1985,21740,0,total_pre,9729.028708359698,209638,346
1985,21740,1,male,2489.288800675629,40059,306
1985,21740,2,female,2493.8740014636164,46746,316
1985,21740,4,total_post,9729.028694906114,209638,346
1985,21740,12,female_male,4962.555074135487,86805,326
1986,10210,0,total_pre,15252.306284728802,30470,249
1986,10210,1,male,5919.36903742461,11075,218
1986,10210,2,female,9643.82297074289,19395,248
1986,10210,4,total_post,15252.306287137188,30470,249
